Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1961","1961","hg/ha","10588","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1962","1962","hg/ha","10455","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1963","1963","hg/ha","10556","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1964","1964","hg/ha","10538","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1965","1965","hg/ha","10200","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1966","1966","hg/ha","10190","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1967","1967","hg/ha","14674","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1968","1968","hg/ha","5078","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1969","1969","hg/ha","7778","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1970","1970","hg/ha","10667","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1971","1971","hg/ha","8946","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1972","1972","hg/ha","6097","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1973","1973","hg/ha","19082","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1974","1974","hg/ha","14751","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1975","1975","hg/ha","23675","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1976","1976","hg/ha","12512","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1977","1977","hg/ha","16629","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1978","1978","hg/ha","18505","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1979","1979","hg/ha","15267","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1980","1980","hg/ha","12403","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1981","1981","hg/ha","7633","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1982","1982","hg/ha","14444","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1983","1983","hg/ha","19839","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1984","1984","hg/ha","20841","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1985","1985","hg/ha","21503","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1986","1986","hg/ha","37340","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1987","1987","hg/ha","40934","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1988","1988","hg/ha","63841","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1989","1989","hg/ha","64381","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1990","1990","hg/ha","66754","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1991","1991","hg/ha","67151","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1992","1992","hg/ha","66943","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1993","1993","hg/ha","67130","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1994","1994","hg/ha","63636","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1995","1995","hg/ha","54761","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1996","1996","hg/ha","52908","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1997","1997","hg/ha","53033","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1998","1998","hg/ha","54723","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","1999","1999","hg/ha","46525","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2000","2000","hg/ha","46377","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2001","2001","hg/ha","51153","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2002","2002","hg/ha","54151","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2003","2003","hg/ha","61262","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2004","2004","hg/ha","67682","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2005","2005","hg/ha","63435","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2006","2006","hg/ha","62000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2007","2007","hg/ha","62222","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2008","2008","hg/ha","61075","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2009","2009","hg/ha","58880","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2010","2010","hg/ha","69277","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2011","2011","hg/ha","68352","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2012","2012","hg/ha","66766","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2013","2013","hg/ha","75013","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2014","2014","hg/ha","58890","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2015","2015","hg/ha","68350","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2016","2016","hg/ha","66760","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2017","2017","hg/ha","67000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","44","Barley","2018","2018","hg/ha","66556","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1972","1972","hg/ha","27584","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1973","1973","hg/ha","102353","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1974","1974","hg/ha","118649","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1975","1975","hg/ha","63515","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1977","1977","hg/ha","196667","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1978","1978","hg/ha","85429","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1979","1979","hg/ha","104200","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1980","1980","hg/ha","118000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1981","1981","hg/ha","155524","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1997","1997","hg/ha","9835","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1998","1998","hg/ha","9812","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","1999","1999","hg/ha","9849","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2000","2000","hg/ha","10000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2001","2001","hg/ha","10000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2002","2002","hg/ha","10000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2003","2003","hg/ha","10000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2004","2004","hg/ha","10000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2005","2005","hg/ha","10000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2006","2006","hg/ha","10000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2007","2007","hg/ha","10000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2008","2008","hg/ha","10482","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2009","2009","hg/ha","10710","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2010","2010","hg/ha","11447","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2011","2011","hg/ha","11500","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2012","2012","hg/ha","10714","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2013","2013","hg/ha","10858","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2014","2014","hg/ha","11018","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2015","2015","hg/ha","11222","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2016","2016","hg/ha","10974","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2017","2017","hg/ha","11008","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","358","Cabbages and other brassicas","2018","2018","hg/ha","11043","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1961","1961","hg/ha","100000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1962","1962","hg/ha","110000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1963","1963","hg/ha","110000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1964","1964","hg/ha","110000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1965","1965","hg/ha","120000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1966","1966","hg/ha","120000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1967","1967","hg/ha","120000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1968","1968","hg/ha","120000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1969","1969","hg/ha","120000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1970","1970","hg/ha","120000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1971","1971","hg/ha","120000","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1972","1972","hg/ha","198272","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1973","1973","hg/ha","132903","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1974","1974","hg/ha","69638","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1975","1975","hg/ha","115449","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1976","1976","hg/ha","42936","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1977","1977","hg/ha","82936","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1978","1978","hg/ha","100332","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1979","1979","hg/ha","91387","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1980","1980","hg/ha","127196","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1981","1981","hg/ha","177880","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1982","1982","hg/ha","178296","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1983","1983","hg/ha","143636","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1984","1984","hg/ha","155100","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1985","1985","hg/ha","154148","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1986","1986","hg/ha","145805","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1987","1987","hg/ha","169010","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1988","1988","hg/ha","141502","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1989","1989","hg/ha","126108","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1990","1990","hg/ha","185384","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1991","1991","hg/ha","61726","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1992","1992","hg/ha","81443","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1993","1993","hg/ha","100124","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1994","1994","hg/ha","101415","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1995","1995","hg/ha","101424","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1996","1996","hg/ha","99973","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1997","1997","hg/ha","101462","Fc","Calculated data"
"QC","Crops","194","Saudi Arabia","5419","Yield","426","Carrots and turnips","1998","1998","hg/ha","138211","Fc","Calculated data"
