Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","1991","1991","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","1992","1992","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","1993","1993","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","1994","1994","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","1995","1995","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","1996","1996","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","1997","1997","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","1998","1998","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","1999","1999","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2000","2000","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2001","2001","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2002","2002","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2003","2003","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2004","2004","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2005","2005","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2006","2006","ha","0","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2007","2007","ha","0","Im","FAO data based on imputation methodology"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2008","2008","ha","0","Im","FAO data based on imputation methodology"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2009","2009","ha","0","Im","FAO data based on imputation methodology"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","366","Artichokes","2010","2010","ha","","M","Data not available"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1961","1961","ha","8500","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1962","1962","ha","8800","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1963","1963","ha","9000","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1964","1964","ha","9300","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1965","1965","ha","10000","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1966","1966","ha","10500","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1967","1967","ha","19098","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1968","1968","ha","22057","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1969","1969","ha","18000","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1970","1970","ha","15000","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1971","1971","ha","9700","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1972","1972","ha","15284","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1973","1973","ha","5805","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1974","1974","ha","10434","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1975","1975","ha","7058","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1976","1976","ha","9630","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1977","1977","ha","8133","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1978","1978","ha","8022","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1979","1979","ha","8595","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1980","1980","ha","4403","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1981","1981","ha","7875","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1982","1982","ha","3121","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1983","1983","ha","933","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1984","1984","ha","1035","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1985","1985","ha","2043","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1986","1986","ha","32276","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1987","1987","ha","37704","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1988","1988","ha","44711","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1989","1989","ha","52077","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1990","1990","ha","55771","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1991","1991","ha","60576","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1992","1992","ha","62239","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1993","1993","ha","211641","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1994","1994","ha","315940","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1995","1995","ha","144957","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1996","1996","ha","94503","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1997","1997","ha","59433","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1998","1998","ha","45685","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","1999","1999","ha","41268","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","2000","2000","ha","25550","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","2001","2001","ha","45066","","Official data"
"QC","Crops","194","Saudi Arabia","5312","Area harvested","44","Barley","2002","2002","ha","25425","","Official data"
