Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1961","1961","tonnes","1485","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1962","1962","tonnes","1530","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1963","1963","tonnes","1575","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1964","1964","tonnes","1800","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1965","1965","tonnes","2000","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1966","1966","tonnes","2250","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1967","1967","tonnes","2500","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1968","1968","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1969","1969","tonnes","3710","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1970","1970","tonnes","4240","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1971","1971","tonnes","4950","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1972","1972","tonnes","5500","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1973","1973","tonnes","6290","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1974","1974","tonnes","8500","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1975","1975","tonnes","11500","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1976","1976","tonnes","15500","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1977","1977","tonnes","21235","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1978","1978","tonnes","27476","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1979","1979","tonnes","30900","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1980","1980","tonnes","41072","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1981","1981","tonnes","50400","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1982","1982","tonnes","70600","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1983","1983","tonnes","97500","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1984","1984","tonnes","103500","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1985","1985","tonnes","132772","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1986","1986","tonnes","137000","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1987","1987","tonnes","113941","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1988","1988","tonnes","103325","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1989","1989","tonnes","112986","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1990","1990","tonnes","113246","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1991","1991","tonnes","112782","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1992","1992","tonnes","120387","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1993","1993","tonnes","123585","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1994","1994","tonnes","127028","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1995","1995","tonnes","131549","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1996","1996","tonnes","124838","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1997","1997","tonnes","131424","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1998","1998","tonnes","136130","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","1999","1999","tonnes","135626","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2000","2000","tonnes","128477","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2001","2001","tonnes","138000","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2002","2002","tonnes","138400","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2003","2003","tonnes","137400","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2004","2004","tonnes","145311","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2005","2005","tonnes","169548","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2006","2006","tonnes","158050","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2007","2007","tonnes","170600","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2008","2008","tonnes","169995","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2009","2009","tonnes","190997","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2010","2010","tonnes","219283","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2011","2011","tonnes","217996","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2012","2012","tonnes","220200","*","Unofficial figure"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2013","2013","tonnes","237000","*","Unofficial figure"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2014","2014","tonnes","255200","*","Unofficial figure"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2015","2015","tonnes","275000","*","Unofficial figure"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2016","2016","tonnes","280000","*","Unofficial figure"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2017","2017","tonnes","283000","*","Unofficial figure"
"QL","Livestock Primary","194","Saudi Arabia","5510","Production","1062","Eggs, hen, in shell","2018","2018","tonnes","285800","*","Unofficial figure"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1961","1961","1000 No","33000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1962","1962","1000 No","34000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1963","1963","1000 No","35000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1964","1964","1000 No","36000","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1965","1965","1000 No","40000","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1966","1966","1000 No","45000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1967","1967","1000 No","50000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1968","1968","1000 No","60000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1969","1969","1000 No","70000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1970","1970","1000 No","80000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1971","1971","1000 No","90000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1972","1972","1000 No","100000","F","FAO estimate"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1973","1973","1000 No","114400","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1974","1974","1000 No","154500","*","Unofficial figure"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1975","1975","1000 No","204500","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1976","1976","1000 No","270000","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1977","1977","1000 No","379000","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1978","1978","1000 No","490399","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1979","1979","1000 No","551500","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1980","1980","1000 No","750100","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1981","1981","1000 No","920000","*","Unofficial figure"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1982","1982","1000 No","1244369","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1983","1983","1000 No","1747699","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1984","1984","1000 No","1852326","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1985","1985","1000 No","2394289","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1986","1986","1000 No","2497465","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1987","1987","1000 No","2071653","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1988","1988","1000 No","1878636","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1989","1989","1000 No","2054292","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1990","1990","1000 No","2059024","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1991","1991","1000 No","2050583","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1992","1992","1000 No","2188860","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1993","1993","1000 No","2246980","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1994","1994","1000 No","2309609","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1995","1995","1000 No","2391797","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1996","1996","1000 No","2269788","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1997","1997","1000 No","2389550","","Official data"
"QL","Livestock Primary","194","Saudi Arabia","5513","Production","1067","Eggs, hen, in shell (number)","1998","1998","1000 No","2475055","","Official data"
