Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1961","1961","100mg/An","84857","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1962","1962","100mg/An","85000","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1963","1963","100mg/An","85135","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1964","1964","100mg/An","85714","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1965","1965","100mg/An","88889","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1966","1966","100mg/An","90000","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1967","1967","100mg/An","89286","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1968","1968","100mg/An","89552","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1969","1969","100mg/An","89398","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1970","1970","100mg/An","92174","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1971","1971","100mg/An","95192","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1972","1972","100mg/An","96491","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1973","1973","100mg/An","97519","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1974","1974","100mg/An","97701","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1975","1975","100mg/An","99053","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1976","1976","100mg/An","106749","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1977","1977","100mg/An","127538","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1978","1978","100mg/An","127499","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1979","1979","100mg/An","127528","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1980","1980","100mg/An","123636","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1981","1981","100mg/An","123681","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1982","1982","100mg/An","123643","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1983","1983","100mg/An","119764","Fc","Calculated data"
"QL","Livestock Primary","194","Saudi Arabia","5410","Yield","1062","Eggs, hen, in shell","1984","1984","100mg/An","120897","Fc","Calculated data"
