Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1961","1961","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1962","1962","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1963","1963","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1964","1964","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1965","1965","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1966","1966","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1967","1967","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1968","1968","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1969","1969","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1970","1970","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1971","1971","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1972","1972","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1973","1973","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1974","1974","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1975","1975","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1976","1976","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1977","1977","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1978","1978","1000 US$","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5622","Import Value","862","Alfalfa meal and pellets","1979","1979","1000 US$","0","","Official data"
