Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1961","1961","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1962","1962","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1963","1963","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1964","1964","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1965","1965","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1966","1966","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1967","1967","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1968","1968","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1969","1969","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1970","1970","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1971","1971","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1972","1972","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1973","1973","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1974","1974","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1975","1975","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1976","1976","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1977","1977","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1978","1978","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1979","1979","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1980","1980","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1981","1981","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1982","1982","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1983","1983","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1984","1984","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1985","1985","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1986","1986","tonnes","0","","Official data"
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","862","Alfalfa meal and pellets","1987","1987","tonnes","0","","Official data"
